ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,ARO Category,drug_class_list,ARO Accession_encoded,Model Name_encoded,ARO Name_encoded,CARD Short Name_encoded,AMR Gene Family_encoded,Drug Class_encoded,Resistance Mechanism_encoded,ARO Category_encoded,drug_class_list_encoded
ARO:3000838,37218,5453,1390,arlR,arlR,ATC67679.1,CP023390.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,arlR,,fluoroquinolone antibiotic,189,5878,5876,5877,474,75,0,-1,12
ARO:3000839,37219,5398,182,arlS,arlS,ABD30512.1,CP000253.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,arlS,,disinfecting agents and antiseptics,190,5879,5877,5878,474,75,0,-1,10
ARO:3000839,37219,5398,182,arlS,arlS,ABD30512.1,CP000253.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,arlS,,fluoroquinolone antibiotic,190,5879,5877,5878,474,75,0,-1,12
ARO:3000858,37238,3397,1405,armA,armA,ADC55560.1,GU437214.1,16S rRNA methyltransferase (G1405),aminoglycoside antibiotic,antibiotic target alteration,armA,,aminoglycoside antibiotic,207,5880,5878,5879,1,13,7,-1,1
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,aminocoumarin antibiotic,2611,703,703,702,503,6,0,-1,0
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,carbapenem,2611,703,703,702,503,6,0,-1,5
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,cephalosporin,2611,703,703,702,503,6,0,-1,6
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,diaminopyrimidine antibiotic,2611,703,703,702,503,6,0,-1,8
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,fluoroquinolone antibiotic,2611,703,703,702,503,6,0,-1,12
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,macrolide antibiotic,2611,703,703,702,503,6,0,-1,18
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,monobactam,2611,703,703,702,503,6,0,-1,20
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,penicillin beta-lactam,2611,703,703,702,503,6,0,-1,29
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,peptide antibiotic,2611,703,703,702,503,6,0,-1,30
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,phenicol antibiotic,2611,703,703,702,503,6,0,-1,31
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,sulfonamide antibiotic,2611,703,703,702,503,6,0,-1,41
ARO:3004056,41121,5228,2688,ArmR,ArmR,AAG07106.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penicillin beta-lactam;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,ArmR,,tetracycline antibiotic,2611,703,703,702,503,6,0,-1,44
ARO:3002985,39419,5385,1643,arnA,arnA,AAG06942.1,AE004091.2,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,arnA,,peptide antibiotic,2015,5881,5879,5880,489,142,7,-1,30
ARO:3005053,43254,6090,3795,ArnT,ArnT,CDO12042.1,FO834906.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,ArnT,,peptide antibiotic,3091,704,704,703,489,142,7,-1,30
ARO:3002846,39280,393,1950,arr-1,arr-1,AAC05822.1,AF001493.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-1,,rifamycin antibiotic,1910,5882,5880,5881,506,152,5,-1,36
ARO:3002847,39281,480,1116,arr-2,arr-2,AAC64366.1,AF078527.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-2,,rifamycin antibiotic,1911,5883,5881,5882,506,152,5,-1,36
ARO:3002848,39282,707,743,arr-3,arr-3,ACD56151.1,EU675686.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-3,,rifamycin antibiotic,1912,5884,5882,5883,506,152,5,-1,36
ARO:3002849,39283,524,173,arr-4,arr-4,ABV26705.1,EF660562.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-4,,rifamycin antibiotic,1913,5885,5883,5884,506,152,5,-1,36
ARO:3002850,39284,567,547,arr-5,arr-5,ABV26707.1,EF660563.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-5,,rifamycin antibiotic,1914,5886,5884,5885,506,152,5,-1,36
ARO:3002852,39286,603,736,arr-7,arr-7,CAZ48628.1,FN397623.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-7,,rifamycin antibiotic,1915,5887,5885,5886,506,152,5,-1,36
ARO:3002853,39287,682,133,arr-8,arr-8,AGC29882.1,KC199968.1,rifampin ADP-ribosyltransferase (Arr),rifamycin antibiotic,antibiotic inactivation,arr-8,,rifamycin antibiotic,1916,5888,5886,5887,506,152,5,-1,36
ARO:3004740,42850,5750,3555,AST-1,AST-1,AAG44836.1,AF279904.1,AST Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,AST-1,,cephalosporin,2921,680,680,679,49,67,5,-1,6
ARO:3004740,42850,5750,3555,AST-1,AST-1,AAG44836.1,AF279904.1,AST Beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,AST-1,,penicillin beta-lactam,2921,680,680,679,49,67,5,-1,29
ARO:3008074,46866,10319,7492,ASU1-1,ASU1-1,QWJ89340.1,MZ126682.1,ASU1 beta-lactamase,cephalosporin,antibiotic inactivation,ASU1-1,,cephalosporin,5416,681,681,680,50,55,5,-1,6
ARO:3006897,45359,6738,4363,AXC-1,AXC-1,WP_020924773.1,NG_061617.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-1,,carbapenem,4816,682,682,681,56,41,5,-1,5
ARO:3006898,45360,6739,4364,AXC-2,AXC-2,WP_100505522.1,NG_066501.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-2,,carbapenem,4817,683,683,682,56,41,5,-1,5
ARO:3006899,45361,6740,4365,AXC-3,AXC-3,WP_081330264.1,NG_066502.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-3,,carbapenem,4818,684,684,683,56,41,5,-1,5
ARO:3006900,45362,6741,4366,AXC-4,AXC-4,WP_150823464.1,NG_066503.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-4,,carbapenem,4819,685,685,684,56,41,5,-1,5
ARO:3006901,45363,6742,4367,AXC-5,AXC-5,WP_150823465.1,NG_066504.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-5,,carbapenem,4820,686,686,685,56,41,5,-1,5
ARO:3008075,46867,10320,7493,AXC-6,AXC-6,QUR41148.1,MZ025964.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-6,,carbapenem,5417,687,687,686,56,41,5,-1,5
ARO:3008076,46868,10321,7494,AXC-7,AXC-7,UGN25768.1,OL516042.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-7,,carbapenem,5418,688,688,687,56,41,5,-1,5
ARO:3008077,46869,10322,7495,AXC-8,AXC-8,BFR50331.1,LC834166.1,AXC beta-lactamase,carbapenem,antibiotic inactivation,AXC-8,,carbapenem,5419,689,689,688,56,41,5,-1,5
ARO:3004143,41272,4485,2797,AxyX,AxyX,EGP45232.2,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyX,,aminoglycoside antibiotic,2661,705,705,704,503,20,0,-1,1
ARO:3004143,41272,4485,2797,AxyX,AxyX,EGP45232.2,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyX,,cephalosporin,2661,705,705,704,503,20,0,-1,6
ARO:3004143,41272,4485,2797,AxyX,AxyX,EGP45232.2,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyX,,fluoroquinolone antibiotic,2661,705,705,704,503,20,0,-1,12
ARO:3004143,41272,4485,2797,AxyX,AxyX,EGP45232.2,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyX,,macrolide antibiotic,2661,705,705,704,503,20,0,-1,18
ARO:3004144,41273,4484,2799,AxyY,AxyY,EGP45231.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyY,,aminoglycoside antibiotic,2662,706,706,705,503,20,0,-1,1
ARO:3004144,41273,4484,2799,AxyY,AxyY,EGP45231.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyY,,cephalosporin,2662,706,706,705,503,20,0,-1,6
ARO:3004144,41273,4484,2799,AxyY,AxyY,EGP45231.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyY,,fluoroquinolone antibiotic,2662,706,706,705,503,20,0,-1,12
ARO:3004144,41273,4484,2799,AxyY,AxyY,EGP45231.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,AxyY,,macrolide antibiotic,2662,706,706,705,503,20,0,-1,18
ARO:3004145,41274,4134,2798,AxyZ,AxyZ,EGP45233.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux;antibiotic target alteration,AxyZ,,aminoglycoside antibiotic,2663,707,707,706,503,20,1,-1,1
ARO:3004145,41274,4134,2798,AxyZ,AxyZ,EGP45233.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux;antibiotic target alteration,AxyZ,,cephalosporin,2663,707,707,706,503,20,1,-1,6
ARO:3004145,41274,4134,2798,AxyZ,AxyZ,EGP45233.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux;antibiotic target alteration,AxyZ,,fluoroquinolone antibiotic,2663,707,707,706,503,20,1,-1,12
ARO:3004145,41274,4134,2798,AxyZ,AxyZ,EGP45233.1,AFRQ01000061.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux;antibiotic target alteration,AxyZ,,macrolide antibiotic,2663,707,707,706,503,20,1,-1,18
ARO:3008078,46870,10323,7496,B3SU1-1,B3SU1-1,QWJ89341.1,MZ126683.1,B3SU1 beta-lactamase,cephalosporin,antibiotic inactivation,B3SU1-1,,cephalosporin,5420,708,708,707,61,55,5,-1,6
ARO:3008079,46871,10324,7497,B3SU2-1,B3SU2-1,QWJ89342.1,MZ126684.1,B3SU2 beta-lactamase,cephalosporin,antibiotic inactivation,B3SU2-1,,cephalosporin,5421,709,709,708,62,55,5,-1,6
ARO:3002986,39420,4677,1820,bacA,bacA,AAC76093.1,U00096.3,undecaprenyl pyrophosphate related proteins,peptide antibiotic,antibiotic target alteration,bacA,,peptide antibiotic,2016,5889,5887,5888,535,142,7,-1,30
ARO:3002672,39106,143,2002,Bacillus pumilus cat86,Bacillus pumilus cat86,AAA22289.1,K00544.1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,Bpum_cat86,,phenicol antibiotic,1756,734,734,786,381,145,5,-1,31
ARO:3003324,39908,8183,1558,Bacillus subtilis mprF,Bacillus subtilis mprF,CAX52582.1,AL009126.3,defensin resistant mprF,peptide antibiotic,antibiotic target alteration,Bsub_mprF,,peptide antibiotic,2222,735,735,787,412,142,7,-1,30
ARO:3003788,40473,6284,2293,Bacillus subtilis pgsA with mutation conferring resistance to daptomycin,Bacillus subtilis pgsA with mutation conferring resistance to daptomycin,BAB95031.1,BA000033.2,daptomycin resistant pgsA,peptide antibiotic,antibiotic target alteration,Bsub_pgsA_DAP,,peptide antibiotic,2464,736,736,788,408,142,7,-1,30
ARO:3007073,45635,8438,5767,Bacillus subtilis rpoB mutants conferring resistance to rifampin,Bacillus subtilis rpoB mutants conferring resistance to rifampin,CAB11883.2,AL009126.3,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),peptide antibiotic;rifamycin antibiotic,antibiotic target alteration;antibiotic target replacement,Bsub_rpoB_RIF,,peptide antibiotic,4961,737,737,789,512,144,8,-1,30
ARO:3007073,45635,8438,5767,Bacillus subtilis rpoB mutants conferring resistance to rifampin,Bacillus subtilis rpoB mutants conferring resistance to rifampin,CAB11883.2,AL009126.3,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),peptide antibiotic;rifamycin antibiotic,antibiotic target alteration;antibiotic target replacement,Bsub_rpoB_RIF,,rifamycin antibiotic,4961,737,737,789,512,144,8,-1,36
ARO:3007527,46298,8692,5969,Bacillus subtilis rpsE mutations conferring resistance to spectinomycin,Bacillus subtilis rpsE mutations conferring resistance to spectinomycin,NP_388014.1,NC_000964.3,spectinomycin resistant rpsE,aminoglycoside antibiotic,antibiotic target alteration,Bsub_rpsE_SPT,,aminoglycoside antibiotic,5139,738,738,790,515,13,7,-1,1
ARO:3000828,37208,8726,1337,baeR,baeR,ADF62940.1,CP001918.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,baeR,,aminocoumarin antibiotic,184,5890,5888,5889,503,1,0,-1,0
ARO:3000828,37208,8726,1337,baeR,baeR,ADF62940.1,CP001918.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,baeR,,aminoglycoside antibiotic,184,5890,5888,5889,503,1,0,-1,1
ARO:3000829,37209,8725,986,baeS,baeS,ADF62939.1,CP001918.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,baeS,,aminocoumarin antibiotic,185,5891,5889,5890,503,1,0,-1,0
ARO:3000829,37209,8725,986,baeS,baeS,ADF62939.1,CP001918.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic,antibiotic efflux,baeS,,aminoglycoside antibiotic,185,5891,5889,5890,503,1,0,-1,1
ARO:3003984,40866,3857,2521,BahA,BahA,APB03218.1,KX531048.1,Bah amidohydrolase,peptide antibiotic,antibiotic inactivation,BahA,,peptide antibiotic,2587,739,739,734,78,142,5,-1,30
ARO:3003297,39881,2058,984,Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones,Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones,AAL82403.1,AF469609.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Bbac_gyrA_FLO,,fluoroquinolone antibiotic,2201,740,740,736,428,97,7,-1,12
ARO:3003297,39881,2058,984,Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones,Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones,AAL82403.1,AF469609.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Bbac_gyrA_FLO,,nybomycin-like antibiotic,2201,740,740,736,428,97,7,-1,25
ARO:3003302,39886,5357,1360,Bartonella bacilliformis gyrB conferring resistance to aminocoumarin,Bartonella bacilliformis gyrB conferring resistance to aminocoumarin,ABM44583.1,CP000524.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,Bbac_gyrA_AMU,,aminocoumarin antibiotic,2204,741,741,735,350,0,7,-1,0
ARO:3003582,40192,5429,632,basR,basR,AAG08162.1,AE004091.2,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic efflux;antibiotic target alteration,basR,,peptide antibiotic,2329,5892,5890,5891,489,142,1,-1,30
ARO:3003583,40193,3375,249,basS,basS,AEX49906.1,JQ340365.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic efflux;antibiotic target alteration,basS,,peptide antibiotic,2330,5893,5891,5892,489,142,1,-1,30
ARO:3004747,42858,5753,3558,BAT-1,BAT-1,EIM09515.1,AJRJ01000061.1,BAT Beta-lactamase,cephalosporin,antibiotic inactivation,BAT-1,,cephalosporin,2923,710,710,709,63,55,5,-1,6
ARO:3002877,39311,1622,720,BcI,BcI,CAA29819.1,X06599.1,class A Bacillus cereus Bc beta-lactamase,cephalosporin,antibiotic inactivation,BcI,,cephalosporin,1938,742,742,742,384,55,5,-1,6
ARO:3002878,39312,1699,1336,BcII,BcII,AAA22562.1,M19530.1,subclass B1 Bacillus cereus Bc beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,BcII,,cephalosporin,1939,743,743,743,522,67,5,-1,6
ARO:3002878,39312,1699,1336,BcII,BcII,AAA22562.1,M19530.1,subclass B1 Bacillus cereus Bc beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,BcII,,penicillin beta-lactam,1939,743,743,743,522,67,5,-1,29
ARO:3007101,45668,8450,5775,BcIII,BcIII,EJR72097.1,AHFI01000047.1,class A Bacillus cereus Bc beta-lactamase,cephalosporin,antibiotic inactivation,BcIII,,cephalosporin,4969,744,744,744,384,55,5,-1,6
ARO:3004749,42861,5754,3559,BCL-1,BCL-1,ABU39980.1,EF540343.1,BCL Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BCL-1,,penicillin beta-lactam,2924,711,711,710,64,140,5,-1,29
ARO:3003801,40486,4627,2303,bcr-1,bcr-1,ALV80601.1,CP012901.1,major facilitator superfamily (MFS) antibiotic efflux pump,bicyclomycin-like antibiotic,antibiotic efflux,bcr-1,,bicyclomycin-like antibiotic,2474,5894,5892,5893,474,40,0,-1,4
ARO:3002987,39421,745,345,bcrA,bcrA,AAA99504.1,L20573.1,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,bcrA,,peptide antibiotic,2017,5895,5893,5894,51,142,0,-1,30
ARO:3002988,39422,585,944,bcrB,bcrB,AAA99505.1,L20573.1,ATP-binding cassette (ABC) antibiotic efflux pump,peptide antibiotic,antibiotic efflux,bcrB,,peptide antibiotic,2018,5896,5894,5895,51,142,0,-1,30
ARO:3003250,39834,2050,215,bcrC,bcrC,AAA99503.1,L20573.1,undecaprenyl pyrophosphate related proteins,peptide antibiotic,antibiotic target alteration,bcrC,,peptide antibiotic,2191,5897,5895,5896,535,142,7,-1,30
ARO:3002385,38785,1193,1008,BEL-1,BEL-1,AAZ04368.1,DQ089809.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-1,,cephalosporin,1491,712,712,711,65,66,5,-1,6
ARO:3002385,38785,1193,1008,BEL-1,BEL-1,AAZ04368.1,DQ089809.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-1,,monobactam,1491,712,712,711,65,66,5,-1,20
ARO:3002385,38785,1193,1008,BEL-1,BEL-1,AAZ04368.1,DQ089809.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-1,,penicillin beta-lactam,1491,712,712,711,65,66,5,-1,29
ARO:3002386,38786,1280,1303,BEL-2,BEL-2,ACV69996.1,FJ666063.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-2,,cephalosporin,1492,713,713,712,65,66,5,-1,6
ARO:3002386,38786,1280,1303,BEL-2,BEL-2,ACV69996.1,FJ666063.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-2,,monobactam,1492,713,713,712,65,66,5,-1,20
ARO:3002386,38786,1280,1303,BEL-2,BEL-2,ACV69996.1,FJ666063.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-2,,penicillin beta-lactam,1492,713,713,712,65,66,5,-1,29
ARO:3002387,38787,1359,1914,BEL-3,BEL-3,ACT09140.1,GQ202694.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-3,,cephalosporin,1493,714,714,713,65,66,5,-1,6
ARO:3002387,38787,1359,1914,BEL-3,BEL-3,ACT09140.1,GQ202694.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-3,,monobactam,1493,714,714,713,65,66,5,-1,20
ARO:3002387,38787,1359,1914,BEL-3,BEL-3,ACT09140.1,GQ202694.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-3,,penicillin beta-lactam,1493,714,714,713,65,66,5,-1,29
ARO:3006154,44616,6743,4368,BEL-4,BEL-4,WP_065158950.1,NG_050978.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-4,,cephalosporin,4074,715,715,714,65,66,5,-1,6
ARO:3006154,44616,6743,4368,BEL-4,BEL-4,WP_065158950.1,NG_050978.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-4,,monobactam,4074,715,715,714,65,66,5,-1,20
ARO:3006154,44616,6743,4368,BEL-4,BEL-4,WP_065158950.1,NG_050978.1,BEL beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,BEL-4,,penicillin beta-lactam,4074,715,715,714,65,66,5,-1,29
ARO:3004751,42863,5755,3560,BES-1,BES-1,AAF61147.1,AF234999.1,BES Beta-lactamase,penicillin beta-lactam,antibiotic inactivation,BES-1,,penicillin beta-lactam,2925,716,716,715,66,140,5,-1,29
ARO:3004753,42865,5756,3561,BIC-1,BIC-1,ADB56658.1,GQ260093.1,BIC Beta-lactamase,carbapenem,antibiotic inactivation,BIC-1,,carbapenem,2926,717,717,716,67,41,5,-1,5
ARO:3008080,46872,10325,7498,BIC-2,BIC-2,WKD79667.1,OR143113.1,BIC Beta-lactamase,carbapenem,antibiotic inactivation,BIC-2,,carbapenem,5422,718,718,717,67,41,5,-1,5
ARO:3004480,41743,5874,2914,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,WP_041777404.1,NC_008618.1,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),peptide antibiotic;rifamycin antibiotic,antibiotic target alteration;antibiotic target replacement,Bado_rpoB_RIF,,peptide antibiotic,2753,745,745,733,512,144,8,-1,30
