ARO Accession,CVTERM ID,Model Sequence ID,Model ID,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,ARO Category,drug_class_list
ARO:3003789,40474,5216,2294,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,CAL35145.1,AL111168.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Cjej_gyrA_FLO,,fluoroquinolone antibiotic
ARO:3003789,40474,5216,2294,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,Campylobacter jejuni gyrA conferring resistance to fluoroquinolones,CAL35145.1,AL111168.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Cjej_gyrA_FLO,,nybomycin-like antibiotic
ARO:3003931,40641,3733,2407,Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,EEK14408.1,ACLQ01000019.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Cgin_gyrA_FLO,,fluoroquinolone antibiotic
ARO:3003931,40641,3733,2407,Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones,EEK14408.1,ACLQ01000019.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Cgin_gyrA_FLO,,nybomycin-like antibiotic
ARO:3003835,40526,4621,2321,cdeA,cdeA,CAE00499.1,AJ574887.1,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,cdeA,,disinfecting agents and antiseptics
ARO:3003835,40526,4621,2321,cdeA,cdeA,CAE00499.1,AJ574887.1,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,cdeA,,fluoroquinolone antibiotic
ARO:3003009,39443,302,1719,ceoA,ceoA,AAB58160.1,U97042.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,ceoA,,aminoglycoside antibiotic
ARO:3003009,39443,302,1719,ceoA,ceoA,AAB58160.1,U97042.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,ceoA,,fluoroquinolone antibiotic
ARO:3003010,39444,121,1252,ceoB,ceoB,AAB58161.1,U97042.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,ceoB,,aminoglycoside antibiotic
ARO:3003010,39444,121,1252,ceoB,ceoB,AAB58161.1,U97042.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,ceoB,,fluoroquinolone antibiotic
ARO:3003441,40028,4584,696,cfrA,cfrA,CAL64019.1,AM408573.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrA,,lincosamide antibiotic
ARO:3003441,40028,4584,696,cfrA,cfrA,CAL64019.1,AM408573.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrA,,oxazolidinone antibiotic
ARO:3003441,40028,4584,696,cfrA,cfrA,CAL64019.1,AM408573.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrA,,phenicol antibiotic
ARO:3003441,40028,4584,696,cfrA,cfrA,CAL64019.1,AM408573.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrA,,pleuromutilin antibiotic
ARO:3003441,40028,4584,696,cfrA,cfrA,CAL64019.1,AM408573.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrA,,streptogramin A antibiotic
ARO:3003441,40028,4584,696,cfrA,cfrA,CAL64019.1,AM408573.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrA,,streptogramin antibiotic
ARO:3004649,42670,5492,3348,cfr(B),cfr(B),CDF47262.1,HG002396.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(B),,lincosamide antibiotic
ARO:3004649,42670,5492,3348,cfr(B),cfr(B),CDF47262.1,HG002396.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(B),,oxazolidinone antibiotic
ARO:3004649,42670,5492,3348,cfr(B),cfr(B),CDF47262.1,HG002396.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(B),,phenicol antibiotic
ARO:3004649,42670,5492,3348,cfr(B),cfr(B),CDF47262.1,HG002396.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(B),,streptogramin antibiotic
ARO:3004146,41275,5389,2800,cfrC,cfrC,CAL84423.1,AM412317.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrC,,lincosamide antibiotic
ARO:3004146,41275,5389,2800,cfrC,cfrC,CAL84423.1,AM412317.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrC,,oxazolidinone antibiotic
ARO:3004146,41275,5389,2800,cfrC,cfrC,CAL84423.1,AM412317.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrC,,phenicol antibiotic
ARO:3004146,41275,5389,2800,cfrC,cfrC,CAL84423.1,AM412317.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrC,,streptogramin antibiotic
ARO:3005021,43212,6053,3763,cfr(D),cfr(D),AXY65402.1,MG707078.1,Cfr 23S ribosomal RNA methyltransferase,glycopeptide antibiotic;lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(D),,glycopeptide antibiotic
ARO:3005021,43212,6053,3763,cfr(D),cfr(D),AXY65402.1,MG707078.1,Cfr 23S ribosomal RNA methyltransferase,glycopeptide antibiotic;lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(D),,lincosamide antibiotic
ARO:3005021,43212,6053,3763,cfr(D),cfr(D),AXY65402.1,MG707078.1,Cfr 23S ribosomal RNA methyltransferase,glycopeptide antibiotic;lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(D),,oxazolidinone antibiotic
ARO:3005021,43212,6053,3763,cfr(D),cfr(D),AXY65402.1,MG707078.1,Cfr 23S ribosomal RNA methyltransferase,glycopeptide antibiotic;lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(D),,phenicol antibiotic
ARO:3005021,43212,6053,3763,cfr(D),cfr(D),AXY65402.1,MG707078.1,Cfr 23S ribosomal RNA methyltransferase,glycopeptide antibiotic;lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(D),,streptogramin antibiotic
ARO:3005023,43214,8623,5914,cfrE,cfrE,RHO92765.1,QUDP01000003.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrE,,lincosamide antibiotic
ARO:3005023,43214,8623,5914,cfrE,cfrE,RHO92765.1,QUDP01000003.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrE,,oxazolidinone antibiotic
ARO:3005023,43214,8623,5914,cfrE,cfrE,RHO92765.1,QUDP01000003.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrE,,phenicol antibiotic
ARO:3005023,43214,8623,5914,cfrE,cfrE,RHO92765.1,QUDP01000003.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrE,,pleuromutilin antibiotic
ARO:3005023,43214,8623,5914,cfrE,cfrE,RHO92765.1,QUDP01000003.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic,antibiotic target alteration,cfrE,,streptogramin antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,glycopeptide antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,lincosamide antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,macrolide antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,phenicol antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,pleuromutilin antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,streptogramin A antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,streptogramin B antibiotic
ARO:3004174,41325,4165,2820,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,Chlamydia trachomatis 23S rRNA with mutation conferring resistance to macrolide antibiotics,nan,NR_076160.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Ctra_23S_MAC,,streptogramin antibiotic
ARO:3003978,40814,4108,2482,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,nan,NC_005353.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Crei_16rrnS_STR,,aminoglycoside antibiotic
ARO:3003978,40814,4108,2482,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,nan,NC_005353.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Crei_16rrnS_STR,,glycopeptide antibiotic
ARO:3003978,40814,4108,2482,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,nan,NC_005353.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Crei_16rrnS_STR,,glycylcycline
ARO:3003978,40814,4108,2482,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,nan,NC_005353.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Crei_16rrnS_STR,,nucleoside antibiotic
ARO:3003978,40814,4108,2482,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,nan,NC_005353.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Crei_16rrnS_STR,,peptide antibiotic
ARO:3003978,40814,4108,2482,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,Chlamydomonas reinhardtii 16S rRNA (rrnS) mutation conferring resistance to streptomycin,nan,NC_005353.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Crei_16rrnS_STR,,tetracycline antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,glycopeptide antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,lincosamide antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,macrolide antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,phenicol antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,pleuromutilin antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,streptogramin A antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,streptogramin B antibiotic
ARO:3004132,41259,4139,2793,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,Chlamydomonas reinhardtii 23S rRNA with mutation conferring resistance to erythromycin,nan,NC_005353.1,23S rRNA with mutation conferring resistance to macrolide antibiotics,glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Crei_23S_ERY,,streptogramin antibiotic
ARO:3003485,40087,3780,2093,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,nan,AB001778.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Cpsi_16S_SPT,,aminoglycoside antibiotic
ARO:3003485,40087,3780,2093,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,nan,AB001778.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Cpsi_16S_SPT,,glycopeptide antibiotic
ARO:3003485,40087,3780,2093,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,nan,AB001778.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Cpsi_16S_SPT,,glycylcycline
ARO:3003485,40087,3780,2093,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,nan,AB001778.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Cpsi_16S_SPT,,nucleoside antibiotic
ARO:3003485,40087,3780,2093,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,nan,AB001778.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Cpsi_16S_SPT,,peptide antibiotic
ARO:3003485,40087,3780,2093,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin,nan,AB001778.1,16s rRNA with mutation conferring resistance to aminoglycoside antibiotics,aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic,antibiotic target alteration,Cpsi_16S_SPT,,tetracycline antibiotic
ARO:3003907,40612,5212,2386,cipA,cipA,ACX65640.1,CP001793.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cipA,,lincosamide antibiotic
ARO:3003907,40612,5212,2386,cipA,cipA,ACX65640.1,CP001793.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cipA,,oxazolidinone antibiotic
ARO:3003907,40612,5212,2386,cipA,cipA,ACX65640.1,CP001793.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cipA,,phenicol antibiotic
ARO:3003907,40612,5212,2386,cipA,cipA,ACX65640.1,CP001793.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cipA,,pleuromutilin antibiotic
ARO:3003907,40612,5212,2386,cipA,cipA,ACX65640.1,CP001793.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cipA,,streptogramin A antibiotic
ARO:3003907,40612,5212,2386,cipA,cipA,ACX65640.1,CP001793.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,cipA,,streptogramin antibiotic
ARO:3002814,39248,4248,571,clbA,clbA,AGZ55247.1,CP006845.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbA,,lincosamide antibiotic
ARO:3002814,39248,4248,571,clbA,clbA,AGZ55247.1,CP006845.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbA,,oxazolidinone antibiotic
ARO:3002814,39248,4248,571,clbA,clbA,AGZ55247.1,CP006845.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbA,,phenicol antibiotic
ARO:3002814,39248,4248,571,clbA,clbA,AGZ55247.1,CP006845.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbA,,pleuromutilin antibiotic
ARO:3002814,39248,4248,571,clbA,clbA,AGZ55247.1,CP006845.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbA,,streptogramin A antibiotic
ARO:3002814,39248,4248,571,clbA,clbA,AGZ55247.1,CP006845.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target alteration,clbA,,streptogramin antibiotic
